,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
287,Jam	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,5:39
288,Remember The Time ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
289,Black Or White ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
290,Who It Is (IHS Mix),Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,7:57
291,Someone Put Your Hand Out	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,5:26
292,You Are Not Alone	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,6:01
293,Stranger In Moscow ,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
294,"Childhood (Theme From ""Free Willy 2"")	",Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,4:28
295,On The Line	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,4:53
296,Blood On The Dance Floor	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,4:12
297,Fall Again (Demo)	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","US, China, Canada, UK & Ireland, Poland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, PRLP09-02, 517433",False,4:22
298,In The Back	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Poland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, PRLP09-02, 517433",False,4:31
299, Unbreakable,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
300,You Rock My World	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,5:08
301,Butterflies	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, 517433",False,4:39
302,Beautiful Girl (Demo)	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, CDr, DVD, Box Set","US, China, Canada, UK & Ireland, Poland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600, PRLP09-02, 517433",False,4:03
303,The Way You Love Me	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,4:30
304, We've Had Enough,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic","Box Set, CD, DVD, CDr","Japan, US, Canada","E5K 92600, none, MHCP-534/8, E5K 92600 0S, AE4K 92600",False,
305,Human Nature	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,
306,I Want You Back / The Love You Save	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,
307,Working Day & Night	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,
308,Will You Be There	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,
309,Heal The World	,Michael Jackson,The Ultimate Collection,"Sony Music, Epic (2), Legacy, MJJ Productions, Sony Music Studios, Sydney, Epic",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set","Australia, US, China, Canada, UK & Ireland, Japan","E5K 92600, none, MHCP-534/8, E5K 92600 0S, 517433",False,
310,CD: The Ultimate Collection,Michael Jackson,The Ultimate Collection,"MJJ Productions, Epic, Legacy",2004,,"Hip Hop, Rock, Funk / Soul, Electronic","CD, DVD, Box Set",Europe,"E5K 92600, 517743 3",False,
311,You Can't Win ,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney, Epic",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD, CDr","Australia, US","none, AE4K 92600",False,7:17
312,We Are Here To Change The World,Michael Jackson,The Ultimate Collection,"MJJ Productions, Sony Music Studios, Sydney, Epic, Legacy",2004,,"Hip Hop, Rock, Funk / Soul, Electronic","CD, DVD, Box Set","Australia, Europe","none, E5K 92600, 517743 3",False,2:53
313,Who Is It (IHS Mix),Michael Jackson,The Ultimate Collection,"MJJ Productions, Epic, Legacy",2004,,"Hip Hop, Rock, Funk / Soul, Electronic","CD, DVD, Box Set",Europe,"E5K 92600, 517743 3",False,7:57
314,Childhood,Michael Jackson,The Ultimate Collection,"MJJ Productions, Sony Music Studios, Sydney, Epic, Legacy",2004,,"Hip Hop, Rock, Funk / Soul, Electronic","CD, DVD, Box Set","Australia, Europe","none, E5K 92600, 517743 3",False,4:28
315,DVD: Live in Bucharest: The Dangerous Tour,Michael Jackson,The Ultimate Collection,"MJJ Productions, Epic, Legacy",2004,,"Hip Hop, Rock, Funk / Soul, Electronic","CD, DVD, Box Set",Europe,"E5K 92600, 517743 3",False,
316,Working Day And Night,Michael Jackson,The Ultimate Collection,"MJJ Productions, Epic, Legacy",2004,,"Hip Hop, Rock, Funk / Soul, Electronic","CD, DVD, Box Set",Europe,"E5K 92600, 517743 3",False,10:04
317,Some In The Dark,Michael Jackson,The Ultimate Collection,"Sony Music, MJJ Productions, Epic, Legacy",2004,,"Stage & Screen, Rock, Funk / Soul, Pop","CD, DVD, Box Set",UK & Ireland,517433,False,4:54
318,Disc One,Michael Jackson,The Ultimate Collection,Epic (2),2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD",China,E5K 92600,False,
319,Disc Two,Michael Jackson,The Ultimate Collection,Epic (2),2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD",China,E5K 92600,False,
320,Disc Three,Michael Jackson,The Ultimate Collection,Epic (2),2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD",China,E5K 92600,False,
321,Disc Four,Michael Jackson,The Ultimate Collection,Epic (2),2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD",China,E5K 92600,False,
322,"Disc Five: DVD - ""Michael Jackson - Live In Concert In Bucharest: The Dangerous Tour""",Michael Jackson,The Ultimate Collection,Epic (2),2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","Box Set, CD, DVD",China,E5K 92600,False,
323,Dancing Machine,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic",CDr,US,AE4K 92600,False,
324,Shake Your Body (Early Demo),Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,2:08
325,Shake Your Body ,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,3:45
326,Sunset Driver ,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,4:03
327,Beat,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,4:18
328,P.Y.T. (Pretty Young Thing-Demo Version),Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,3:46
329,Scared Of The Moon,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,4:41
330,Dangerous,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,6:40
331,Monkeys Business,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,5:45
332,Someone Put Your Hand Out (Edited),Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,5:26
333,Fall Again ,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,4:22
334,Beautiful Girl,Michael Jackson,The Ultimate Collection,"Sony Music Studios, Sydney",2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD",Australia,none,False,4:03
335,Wanna Be Startin' Something,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic",CDr,US,AE4K 92600,False,
336,The Girl Is Mine -,Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic",CDr,US,AE4K 92600,False,
337,"We Are Here To Change The World (From ""Captain Eo"")",Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic",CDr,US,AE4K 92600,False,
338,Who It Is (Ihs Mix),Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic",CDr,US,AE4K 92600,False,
339,The Way You Love Me (Demo),Michael Jackson,The Ultimate Collection,Epic,2004,,"Pop, Funk / Soul, Electronic",CDr,US,AE4K 92600,False,
340,Michael Jackson Live In Concert In Bucharest: The Dangerous Tour DVD,Michael Jackson,The Ultimate Collection,Epic,2004,Producer,"Stage & Screen, Funk / Soul, Electronic","Box Set, CD, DVD",Canada,"E5K 92600, E5K 92600 0S",False,
341,We Are Here To Change The World (From 'Captain Eo'),Michael Jackson,The Ultimate Collection,Sony Music,2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop",CDr,Poland,PRLP09-02,False,
342,Blame It On The Boogie,Michael Jackson,The Ultimate Collection,Epic,2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD, Box Set",Japan,"none, MHCP-534/8",False,
343,Another Part of Me,Michael Jackson,The Ultimate Collection,Epic,2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD, Box Set",Japan,"none, MHCP-534/8",False,
344,One More Chance,Michael Jackson,The Ultimate Collection,Epic,2004,,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD, Box Set",Japan,"none, MHCP-534/8",False,
345,Shake Your Body (Down To The Ground) (Single Edit),Michael Jackson,The Ultimate Collection,Epic,2004,Producer,"Rock, Funk / Soul, Electronic, Stage & Screen, Pop","CD, DVD, Box Set",Japan,MHCP-534/8,False,3:45
346,A Song For You,Herbie Hancock,Possibilities,"Warner Music International, Vector Recordings (2), Warner Music Group, Warner Music (2), Sony Music (2), Verve Records (2), Starbucks Coffee (2), Not On Label, Hancock Music, Starbucks Coffee, Warner Music, Hear Music, Vector Recordings, Hear Music (2)","0, 2005",Producer [Additional Production Services By],"Funk / Soul, Jazz","CD, CDr","Argentina, Australia, US, Mexico, Canada, Japan, Russia, Europe","1011122, WPCR 12183, none, 70013-2, CDW 49896, 5101101112, 5101-10111-2, WCDB719, LDR 3435, 4670001542876, 50-51011-0111-2-2",False,7:05
347,When Love Comes To Town,Herbie Hancock,Possibilities,"Warner Music International, Vector Recordings (2), Warner Music Group, Warner Music (2), Sony Music (2), Verve Records (2), Starbucks Coffee (2), Not On Label, Hancock Music, Starbucks Coffee, Warner Music, Hear Music, Vector Recordings, Hear Music (2)","0, 2005",Keyboards,"Funk / Soul, Jazz","CD, CDr","Argentina, Australia, US, Mexico, Canada, Japan, Russia, Europe","1011122, WPCR 12183, none, 70013-2, CDW 49896, 5101101112, 5101-10111-2, WCDB719, LDR 3435, 4670001542876, 50-51011-0111-2-2",False,8:41
348,I Just Called To Say I Love You,Herbie Hancock,Possibilities,"Warner Music International, Vector Recordings (2), Warner Music Group, Warner Music (2), Sony Music (2), Verve Records (2), Starbucks Coffee (2), Not On Label, Hancock Music, Starbucks Coffee, Warner Music, Hear Music, Vector Recordings, Hear Music (2)","0, 2005","Arranged By, Producer","Funk / Soul, Jazz","CD, CDr","Argentina, Australia, US, Mexico, Canada, Japan, Russia, Europe","1011122, WPCR 12183, none, 70013-2, CDW 49896, 5101101112, 5101-10111-2, WCDB719, LDR 3435, 4670001542876, 50-51011-0111-2-2",False,5:27
349,Silent Night,Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,2:07
350,Song Of Mary (Holy Is The Lord),Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,3:54
351,"O, Holy Night",Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,3:33
352,Let It Snow,Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,2:28
353,I Hear Angels Calling,Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,3:49
354,Hark! The Herald Angels Sing,Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,2:58
355,Do You Hear What I Hear,Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,4:02
356,Away In A Manger,Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,4:01
357,"O Come, O Come, Emmanuel",Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,5:01
358,Song Of Mary (Holy Is The Lord) Instrumental,Herbie Hancock,I Hear Angels Calling,"Hear Music, Vector Recordings, Hancock Music",2005,,"Funk / Soul, Jazz",CD,US,70013-2,False,4:06
359,You And I,Michael Lington,Heat,nuGroove Records (3),2008,"Piano, Producer",Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,3:54
360,Chuva,Michael Lington,Heat,nuGroove Records (3),2008,"Piano, Producer",Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,4:03
361,Ocean Drive,Michael Lington,Heat,nuGroove Records (3),2008,"Keyboards, Producer",Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,4:04
362,Baker Street,Michael Lington,Heat,nuGroove Records (3),2008,Producer,Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,5:00
363,Angelina,Michael Lington,Heat,nuGroove Records (3),2008,"Piano, Producer",Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,4:16
364,Memphis,Michael Lington,Heat,nuGroove Records (3),2008,Producer,Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,4:05
365,That's When You Save Me,Michael Lington,Heat,nuGroove Records (3),2008,Producer,Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,4:22
366,Ladyland,Michael Lington,Heat,nuGroove Records (3),2008,"Keyboards, Producer",Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,4:44
367,Shout About Ya',Michael Lington,Heat,nuGroove Records (3),2008,Producer,Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,
368,Nostalgia,Michael Lington,Heat,nuGroove Records (3),2008,"Keyboards, Programmed By, Producer",Jazz,CD,US,"NUG-2016-2, 20162, NUG-2017-2",False,
369,Introduction By Claude Nobs,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
370,"The Good, The Bad And The Ugly",Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
371,Let The Good Times Roll,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
372,Makin' Whoopee,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
373,Moody's Mood,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
374,The Television Song,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
375,Honeysuckle Rose,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
376,Shiny Stockings,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
377,I'm Gonna Move To The Outskirts Of Town / In The Heat Of The Night,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer, Keyboards","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
378,If I Ever Lose This Heaven,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
379,Midnight Sun,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
380,One Mint Julep,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
381,Goin' To Chicago Blues,Quincy Jones,The 75th Birthday Celebration,"Eagle Vision HD, Eagle Vision, Eagle Eye Media",2009,"Keyboards, Producer","Hip Hop, Blues, Funk / Soul, Jazz, Pop","Blu-ray, DVD","US, Europe","ERBRD5034GV, ERBRD5034, EREDV744, EE391859R1, EE 39185-9",False,
