,album_title,track_specific_info,version_ids,has_track_specific_info_in_release_credits,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,id_str,url,position,release_id,duration
10,So Excited!,"Synthesizer [Synthesizer Solo By], Soloist -> tracks: B1 to B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,American Music,Pointer Sisters,So Excited!,Planet (15),1982,"Synthesizer, Synthesizer [Synthesizer Solo By], Soloist","Pop, Funk / Soul, Rock, Electronic",Vinyl,Israel,BXL1-4355,True,American Music in So Excited!,https://www.discogs.com/release/16912854-Pointer-Sisters-So-Excited,B4,16912854,3:58
11,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heart Beat,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,Heart Beat in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,4,734665,4:22
12,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heart Beat,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,Heart Beat in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,A4,14170138,4:22
13,So Excited!,"Synthesizer [Synthesizer Solo By], Soloist -> tracks: B1 to B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heart Beat,Pointer Sisters,So Excited!,Planet (15),1982,"Synthesizer, Synthesizer [Synthesizer Solo By], Soloist","Pop, Funk / Soul, Rock, Electronic",Vinyl,Israel,BXL1-4355,True,Heart Beat in So Excited!,https://www.discogs.com/release/16912854-Pointer-Sisters-So-Excited,A4,16912854,4:22
14,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heart To Heart,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,Heart To Heart in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,7,734665,3:32
15,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heart To Heart,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,Heart To Heart in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,B3,334272,3:52
16,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heart To Heart,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,Heart To Heart in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,B3,14170138,3:52
17,So Excited!,"Synthesizer [Synthesizer Solo By], Soloist -> tracks: B1 to B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heart To Heart,Pointer Sisters,So Excited!,Planet (15),1982,"Synthesizer, Synthesizer [Synthesizer Solo By], Soloist","Pop, Funk / Soul, Rock, Electronic",Vinyl,Israel,BXL1-4355,True,Heart To Heart in So Excited!,https://www.discogs.com/release/16912854-Pointer-Sisters-So-Excited,B3,16912854,3:52
18,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,Heartbeat,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,Heartbeat in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,A4,334272,4:22
19,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I Feel For You,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,I Feel For You in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,6,734665,3:58
20,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I Feel For You,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,I Feel For You in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,B2,334272,3:58
21,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I Feel For You,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,I Feel For You in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,B2,14170138,3:58
22,So Excited!,"Synthesizer [Synthesizer Solo By], Soloist -> tracks: B1 to B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I Feel For You,Pointer Sisters,So Excited!,Planet (15),1982,"Synthesizer, Synthesizer [Synthesizer Solo By], Soloist","Pop, Funk / Soul, Rock, Electronic",Vinyl,Israel,BXL1-4355,True,I Feel For You in So Excited!,https://www.discogs.com/release/16912854-Pointer-Sisters-So-Excited,B2,16912854,3:58
23,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I'm So Excited,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,I'm So Excited in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,1,734665,3:50
24,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I'm So Excited,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,I'm So Excited in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,A1,334272,3:50
25,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I'm So Excited,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,I'm So Excited in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,A1,14170138,3:50
26,So Excited!,"Synthesizer [Synthesizer Solo By], Soloist -> tracks: B1 to B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,I'm So Excited,Pointer Sisters,So Excited!,Planet (15),1982,"Synthesizer, Synthesizer [Synthesizer Solo By], Soloist","Pop, Funk / Soul, Rock, Electronic",Vinyl,Israel,BXL1-4355,True,I'm So Excited in So Excited!,https://www.discogs.com/release/16912854-Pointer-Sisters-So-Excited,A1,16912854,3:50
27,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,If You Wanna Get Back Your Lady,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,If You Wanna Get Back Your Lady in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,5,734665,5:35
28,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,If You Wanna Get Back Your Lady,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,If You Wanna Get Back Your Lady in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,B1,334272,5:35
29,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,If You Wanna Get Back Your Lady,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,If You Wanna Get Back Your Lady in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,B1,14170138,5:35
30,So Excited!,"Synthesizer [Synthesizer Solo By], Soloist -> tracks: B1 to B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,If You Wanna Get Back Your Lady,Pointer Sisters,So Excited!,Planet (15),1982,"Synthesizer, Synthesizer [Synthesizer Solo By], Soloist","Pop, Funk / Soul, Rock, Electronic",Vinyl,Israel,BXL1-4355,True,If You Wanna Get Back Your Lady in So Excited!,https://www.discogs.com/release/16912854-Pointer-Sisters-So-Excited,B1,16912854,5:35
31,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,See How The Love Goes,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,See How The Love Goes in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,2,734665,4:03
32,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,See How The Love Goes,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,See How The Love Goes in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,A2,334272,4:03
33,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,See How The Love Goes,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,See How The Love Goes in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,A2,14170138,4:03
