,album_title,track_specific_info,version_ids,has_track_specific_info_in_release_credits,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,id_str,url,position,release_id,duration
0,Blast!,,"3800715, 5732494, 10151310, 1775374, 219153, 15771412, 1422103, 9370263, 9695394, 3126823, 15688362, 9985963, 4118828, 9370285, 15379505, 2648886, 21886009, 3726161, 16596444, 21830890, 6885107, 2362879",False,Funk It (Funkadelala),Brothers Johnson,Blast!,A&M Records,1982,Synthesizer [Synthesizers],Funk / Soul,Vinyl,US,SP-4927,False,Funk It (Funkadelala) in Blast!,https://www.discogs.com/release/3126823-The-Brothers-Johnson-Blast,A1,3126823,4:05
1,Blast!,,"3800715, 5732494, 10151310, 1775374, 219153, 15771412, 1422103, 9370263, 9695394, 3126823, 15688362, 9985963, 4118828, 9370285, 15379505, 2648886, 21886009, 3726161, 16596444, 21830890, 6885107, 2362879",False,Stomp!,Brothers Johnson,Blast!,A&M Records,1982,Synthesizer [Synthesizers],Funk / Soul,Vinyl,US,SP-4927,False,Stomp! in Blast!,https://www.discogs.com/release/3126823-The-Brothers-Johnson-Blast,B3,3126823,4:07
2,Blast!,,"3800715, 5732494, 10151310, 1775374, 219153, 15771412, 1422103, 9370263, 9695394, 3126823, 15688362, 9985963, 4118828, 9370285, 15379505, 2648886, 21886009, 3726161, 16596444, 21830890, 6885107, 2362879",False,The Real Thing,Brothers Johnson,Blast!,A&M Records,1982,Keyboards,Funk / Soul,Vinyl,US,SP-4927,False,The Real Thing in Blast!,https://www.discogs.com/release/3126823-The-Brothers-Johnson-Blast,A5,3126823,3:54
3,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,All Of You,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,All Of You in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,3,734665,4:00
4,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,All Of You,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,All Of You in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,A3,334272,4:00
5,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,All Of You,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,All Of You in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,A3,14170138,4:00
6,So Excited!,"Synthesizer [Synthesizer Solo By], Soloist -> tracks: B1 to B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,All Of You,Pointer Sisters,So Excited!,Planet (15),1982,"Synthesizer, Synthesizer [Synthesizer Solo By], Soloist","Pop, Funk / Soul, Rock, Electronic",Vinyl,Israel,BXL1-4355,True,All Of You in So Excited!,https://www.discogs.com/release/16912854-Pointer-Sisters-So-Excited,A3,16912854,4:00
7,So Excited!,"Synthesizer -> tracks: 1, 4, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By] -> tracks: 5, 6, 7","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,American Music,Pointer Sisters,So Excited!,"Planet (15), RCA",0,"Synthesizer, Soloist [Synthesizer Solo By], Synthesizer [Synthesizer Solo By]","Pop, Funk / Soul, Electronic",CD,UK & Europe,ND 90255,True,American Music in So Excited!,https://www.discogs.com/release/734665-Pointer-Sisters-So-Excited,8,734665,3:58
8,So Excited!,,"16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,American Music,Pointer Sisters,So Excited!,Planet (15),1982,Synthesizer,"Funk / Soul, Rock, Electronic",Vinyl,US,6001,False,American Music in So Excited!,https://www.discogs.com/release/334272-Pointer-Sisters-So-Excited,B4,334272,3:58
9,So Excited!,"Synthesizer [Solo] -> tracks: B1, B2, B3, Synthesizer -> tracks: A1, A4, B2","16120839, 10154638, 8227857, 2584977, 9946899, 13521684, 3927445, 14170138, 15053083, 413603, 16163748, 15860773, 15462692, 15336615, 22425385, 3524650, 2868907, 7164847, 17551921, 1394609, 8378164, 334272, 9728448, 8061126, 16017480, 734665, 8227915, 4756558, 3433685, 16912854, 12261333, 22248535, 5114971, 6610530, 9256930, 6310373, 14354793, 18091114, 2669931, 5857642, 3097581, 1428089, 5504893",True,American Music,Pointer Sisters,So Excited!,RCA Victor,1982,"Synthesizer, Synthesizer [Solo]","Pop, Rock, Electronic",Vinyl,Spain,FL 14355,True,American Music in So Excited!,https://www.discogs.com/release/14170138-Pointer-Sisters-So-Excited-Tan-Excitado,B4,14170138,3:58
